id;from1;comment1;date1;testcountry
225;Julie K;"This tour was a great way to see the main sites of the city, learn about the history and meet some new friends. Our guide, Daniel, explained everything thoroughly and always made sure to check if you had any other questions. He took us to these thermal fountains that are rumored to cure all heart diseases and maybe even heartaches. We passed a church you could write a wish to be sent to heaven. He told us stories of what the local kids use to do in the communist-style mall. You even get quizzed to see if you were paying attention with a sweet reward. The funniest was this baby statue we passed...you'll find out why if you take the tour ;). As you can see, lots of joking and a good-natured atmosphere. Many of the participants on the tour went together to have lunch at a local restaurant Danny recommended as well. Needless to say, everything on that menu tasted amazing! As always, the free tours are tip based but well worth it.";15.11.2012;Spain
226;Patricia N;"""Fantastic and highly recommended"" - Congratulations to the organizers! Our guide did a wonderful job, knew much about the history of Sofia and was willing to answer everybody's questions. I would highly recommend this tour to every tourist, even more if for the first time in Sofia.";15.11.2012;Austria
227;juliet i;Charming presentation of Sofia! - I really enjoyed the tour with Niki - he was an excellent guide!Charming presentation of Sofia!Thank you for making our capital more interesting and beautiful place! I recommend this tour to all people who visit Sofia. ;17.11.2012;Bulgaria
228;Jan Mennenga ;"Perfect introduction of a very nice city
I can recommend this tour to everyone in Sofia, even if you have been in Sofia before. It gets you a great insight in a very nice city, with an enthusiastic tour guide. ";04.01.2013;Romania
229;Paul J;"If you have the time, it would be foolish not to do itвЂќ
It's been a number of days since I went on this tour so unfortunately I cannot remember the gentleman's name. His English was excellent, as was the tour. The knowledge of the locals is hard to match in tour books and brochures. Without the tour you don't really now what your seeing, it is easy to miss very significant landmarks, especially when they are underground. Sofia has a rich long history and there is no way I would have known it as intimately as I now do. Thank you Free Sofia Tour. It Lasts about two to two and a half hours, is twice daily, 11:00am and 6:00pm, I went in the morning. It was cool be definitely worth it. They are a non profit, so if you can just give the guide some money to help keep the program running. ";20.01.2013;Bulgaria
230;Apuana A;"Well done, guys!!!!!!! 
Mine tourguide Martin, was really good in both giving detailed explanations about the city and making the tour really enjoyable, despite my legs were freezing! :) I highly reccomend this tour to all Sofia visitors, because you can gather a lot of interesting info about the city without bothering opening your guide book, while having a good fun thanks to your tour guide!";22.01.2013;USA
231;Jenny H;Fantastic - well recommended.This well organised, informative and light hearted tour is the best thing we did in Sofia. Our guide (Daniel) is a history student at the university in the city and kept us riveted for two hours with fascinating facts about the city and a really enjoyable stroll around the key sights. It really is totally free - but please leave the guys a tip, they thoroughly deserve it! ;23.01.2013;UK
232;Dee Menchavez;"Experience one of the best two hours of your life ;)No doubt the best way to explore the fun and wonderful City of Sofia! Highly recommended.  Thanks, Miss Petya. Thank You, FST!!!!! :)";16.01.2013;UK
233;Abby Lynn Vincent;Best 2hours of my life thus far. ;07.01.2013;USA
234;Konstantinos Malliotakis;The tour was great thank u Nikolas (Nikola Stoykov);12.01.2013;Greece
235;Moe Hamad Halabi;"Thx ""Petya""for the amazing tour , was cool and very funny...";15.01.2013;Qatar
236;Jaakko Rissanen;Had a great tour yesterday evening, thanks Kris!;03.02.2013;Finland
237;Neda M;If you do not know anything about Sofia and what to visit, this is a great choice. Good walking tour lasting more than 2,5 hours and excellent tour guide (Filip), who has presented the town, its history, culture, people on interesting way. Many thanks on this experience!;02.11.2013;Croatia
238;Sonia Friedmann-zur Nieden;Thanks so much it was real fun!!!;05.03.2013;Germany
239;Emilia Ersov;You spread so much enthusiasm around! thank you for a great tour!;09.03.2013;Bosnia
240;Raf Somers;"""Best way to see the city"" A funny way to explore the most important things of Sofia. Very good guides! Even when it's very cold outside! ";10.02.2013;Belgium
241; Гustein F;"Go back a millennium just by turning the corner!

I have never experienced such an interesting city tour. The Free Sofia Tour takes you on a journey back and forth between centuries, religions, (fun) facts, humorous stories and urban legends. It gives you a overview of the complex Bulgarian history. 

If you have ever wanted to know how it was to walk on the main street in the Roman Empire? This tour give you the opportunity to do just that. 

A special thank you to Martin, our tour guide, who has a sparkling and engaging personality that definitely contributed to making this tour a great experience.
";05.03.2013;Oslo, Norway
242;Marialena P;"Excellent tour of Sofia!Highly recommended!вЂќ

2 people found this review helpful
I visited Sofia with a group of friends for 2 days and we decided to do the free Sofia tour in order to see the city. It was a great decision.
Our guide Dima was really nice and friendly. Her command of English was great and she gave us really interesting information about the city and its history. I have done tours in some cities I visited however I can say that this tour was way better than everything I have done before.
Before we took the tour, Sofia city didn't impress us. After the end of the tour we were really amazed by all these buidings we wouldn't have seen on our own. We also had the chance to learn about Bulgarian history and ask anything we wanted to know. 
We also had the chance to meet people from other countries and talk about our experiences from Sofia and traveling in general.
After the tour we had a beer in a nice place with Dima and other people from our group.
It is therefore a highly recommended way to see the city while having fun.";11.03.2013;Rafina, Greece
243;Suzanne Cope;All visits to Sofia should include this tour, it'll knock your socks off! Our tour guide was Petya and she had some lovely, interesting stories and even had quiz questions with prices! Get on board people, it's brilliant!;12.03.2013;UK
244;Brandon B;"Fantastic - and don't forget to tipвЂќ
My wife and I found the tour great. The guide was a great resource of knowledge and fun facts. Highly recommend for anyone visiting Sofia. Please do not forget to tip. It says free - yes - but the guides appreciate it!";13.03.2013;Iraq
245;iki170856;I just came back from this wonderful experience-an attractive walk through the history of Sofia city. I really admire Niki's enthusiasm and wonderful sense of humour. He not only introduced us to the main chronology of events but made us live and feel using games and competitions. Well done! It is something you shouldn't miss if coming to Bulgaria.;23.03.2013;Bulgaria
246;DrWhy1066;"Interesting and insightful
Our tour guide, Mitko, is a history student (halfway through his PhD) at the University of Sofia and was a passionate, entertaining and knowledgable speaker. He put the whole history of Bulgaria into a 10 minute introduction which was masterful and gave us all a framework to hang all of the subsequent information on. We have taken city tours all over the world and I have to say that this was by far the best. He mixed the factual history with personal anecdotes and analysis of the economic and political situation in Bulgaria. Outstanding and highly recommended. He kept the whole tour party including our 12 and 14 year old in the palm of his hand all through the two and a half hours.

Also really impressed with the Free Tour format. Absolutely no pressure to make any monetary contribution but incredibly high quality product. A the end of the tour it was impossible not be be generous in reflection of a real insight into Bulgarian history, life, humour and hope.";01.04.2013;
247;Elena Tabakovska;Very well organized tours. I strongly recommend to foreigners visiting Sofia;01.04.2013;Macedonia
248;Ash_NPS160;“Excellent! A must!” Be aware there is a lot of walking involved (it's a walking tour!) so do it in the morning when you're fresh and full of energy. We chose the 11am tour, I think there is another at 6pm as well. Kris, our guide, was excellent. He was polite and had just enough charisma to keep people laughing or smiling. The pace was good, not too slow. Information was abundant. Everything about the tour was great. I believe he had an interest in The New Sofia Pub Crawl, as he recommended this after - again this was an amazing experience and worth the money it cost. The free tour is open to donations and I'd recommend offering some money - it is better than half the tours you pay for!;05.04.2013;United Kingdom
249;Ejuya;“Incredible! Best part of my trip.” I showed up in Sofia without any background knowledge of this city, so I figured this would introduce me. Not only did this great tour give me a historical context for what I was visiting, it showed me all the sites I would want to see over the course of my trip (including more than a few that weren't in the guide) and got me accustomed to the layout of the city. Our guide was enthusiastic, helpful and informative and ended up becoming our good friend, along with many others whom we met on the tour. This walking tour ended up being the best part of our trip, I'm sold for life and I'll do every walking tour I can in every city I visit from now on. If you can, join them for their Pub Crawl at night, as well, to see some of Sofia's contemporary culture in addition to the sites on the tour. This truly is an incredible organization with incredible guides, it really shaped my opinion on Sofia.;06.04.2013;United States
250;MichalK74;“The best city tour ever” I travel a lot and in many cities I book a guided tour just to get more knowledge about the places I visit as the guidebooks are not enough. In Sofia the only option was 'Free Sofia Tour' and it was the best guided walking in my life. The best guide NIKI.;12.04.2013;Poland
251;Peripateticprincess;“Number 1 thing to do in Sofia!” Wow!m great walking tour of most of major sights in Sofia, led by fluent English speaker Filip. Must be the greatest way to get a good solid intro to this city, punctuated with anecdotal stories, humor and exercise! Or tour lasted almost 3 hours but we were a crowd of almost 40 from all over the world. Not only was the tour very informative and fun but it was fun to meet others from other countries! Note the tour is free, but many of the guides are students so it is nice to give a tip. HIGHLY recommended!;14.04.2013;United States
252;Maimouna Cisse;Thanks again so much for the tour Nikola gave us today. We walked a lot under the rain but it was fun and it was worth it. Keep up the good work. It was nice meeting everybody else in the group. Safe journey to all of you. ;15.04.2013;
253;Faizal H;“Excellent tour” The tour was a great way to see the city and Dima, our guide, was full of information and historical facts. We happened to go on the tour on the first day in town which turned out to be a great way to identify museums and galleries to visit later. Sofia has such a rich history that we would have remained ignorant of, if not for the tour. Also the friendly atmosphere encouraged the members of the tour group to engage and connect with each other which made the tour very memorable and personal.;23.04.2013;
254;Jesse Greenleaf;Thoroughly enjoyed the tour today! Viki, the guide, was fabulous and full of personality. Keep up the goo dwork and hopefully you'll grow as an organization! Love SOFIA!!!;23.04.2013;United States
255;Pavlin_Delchev;“Your best way to start with Sofia!” Our guide Martin was extraordinary - wide and extensive history knowledge as well for the city and for Bulgaria. Excellent presenter with a sense of humor that makes the trip twice enjoyable. Although he claims he is doing this for only 3 months it was more like three years. There is a good amount (2-3 Hours) of walking so make sure you are ready. So if you are coming (or you are here already) to Sofia you should definitely start with Free Sofia Tour! You will be able to get a speed review of the city and mark extra sites you need to visit, plus you will avoid visiting places that are not worth it. Even if you have lived in the city for 20+ years, believe me you will be amazed of the thing you have not seen and you will learn at this tour :) Enjoy!;28.04.2013;Bulgaria
256;Jeff R;“Great Experience” This was an excellent walking tour of central Sofia. Our guide, Vicky's love for Sofia and Bulgaria was evident as she showed us the city. We took the evening tour which was good. It was cold and raining but we all had a great time and learned more about central Sofia that we did from all the guide books we read. I highly recommend this tour as the starting point for a first time visit to the city. It is a great overview. We were invited to a pub crawl later. I am sure that would have been fun too but we were too cold and tired from the drive to go. The tour is free. Everyone left a tip.;30.04.2013;United States
257;lindayolid00;“Perfect” We took the tour with Daniel on Holy Friday. It was quite a large group, but he did a great job of projecting his voice, and at no point did we have to strain to hear him. We had lots of fun! Daniel has a degree in History and he is a native of Sofia, so his breadth of knowledge about the city is impressive. Our tour lasted a little over two hours, and we learned so much about Sofia and Bulgarian history. It was really was so informative and enjoyable that we also have been looking up other free walking tours in other cities. Definitely don't miss out on this!;06.05.2013;
258;Adelaide;"""like walking next to a friend"" Daniel knew a lot of cool, ""local only"" knowledge which was very fun. The tour was a good length and included art, architecture, history and fun facts about this city and its people. It is also a great source of info on where to go for good local food. If you are a big group I think it would be best to let them know in advance since we had a huge group show up which made the tour too big.";09.05.2013;Australia
259;Jeff B.;"“Don't Leave Sofia Without This Tour” This was the first free walking tour I ever did and now I try to find them in every city I go to. The guide really knows a lot about Bulgarian history. I've been on a lot of tours where the guide will just make something up if they don't know the answer to something, so I always find it reassuring when a guide says ""I don't know"" occasionally. This tour will really enrich your view of the city.";13.05.2013;South Korea
260;Kate Drozdovsky;Thank you for help to discover Sofia at 14 may. It was a good evening with international company. Share your love in Sofia with tourist =) And special thanks to our guide-in-training Georgi and Radina.;14.05.2013;Ukraine
261;Mariusz Franciszek Rybak;I can only recommend this great experience to everybody who will ever visit Sofia :D;22.05.2013;Poland
262;Peter W;“Fantastically interesting free tour” We shared a couple of very enthralling hours with our guide Ina and eight others. It was casual and relaxed walk with Ina filling us with an amazing amount of detail on the sites we visited. Her love of her home was evident and her enthusiasm in expounding her knowledge was captivating. Sofia is a fascinating city and this walk gives a good glimpse of what she has to offer.;01.06.2013;
263;Colin E;"Great tour all around the city of Sofia. The guide Radina knew a lot of great history and facts about the local attractions, and had some great recommendations afterward to eat. 

The tour runs you through a lot of beautiful sites, especially the local churches. There's so many layers of history in the city, so you'll be walking up and down a lot, but it's worth it. Going from the ancient Thracian empire through Rome, the Ottomans, and the Communist era, you get to see a multitude of public buildings, churches and outdoor locales with a ton of history. Definitely worth the visit.";04.04.2013;United States
264;Colin E;"Great tour all around the city of Sofia. The guide Radina knew a lot of great history and facts about the local attractions, and had some great recommendations afterward to eat. 

The tour runs you through a lot of beautiful sites, especially the local churches. There's so many layers of history in the city, so you'll be walking up and down a lot, but it's worth it. Going from the ancient Thracian empire through Rome, the Ottomans, and the Communist era, you get to see a multitude of public buildings, churches and outdoor locales with a ton of history. Definitely worth the visit.";04.06.2013;United States
265;Mr_Tuxedo93;"My guide was Martin a student of history, tall and very funny guy. He showed us in 2h the major attractions of Sofia, explained a lot of details about some hidden clock, history of Bulgaria, the lions in front of the justice department and how they are called, about the springs and churches in sofia in an entertainement way. He also asked some questions to his followers and offered a candy for the first good answer. I managed to get two candys by the way. 
Anyone who visits Sofia for the first time need to go there @18h @ the Lions and follow the tour.";07.06.2013;Belgium
266;PFMica;This is an outstanding walking tour! I came away with a greater understanding of Bulgarian history & appreciation for Sofia. Filip, our guide, was witty, knowledgeable & friendly. He also added interest by offering a popular Bulgarian candy bar to the first person giving the answer to various questions. A fun & informative morning!;10.06.2013;United States
267;JagerB0mb;"We took the tour on June 14th, with Viki as a guide. Her passion for the city was contagious! It was very interesting to visit the city this way, full of anecdotes and stories we would have never known without her.

I would strongly recommend the tour to anyone visiting Sofia, specially helpful on the first day in the city to get a general impression of the city and its history, ask any questions / recommendations / etc... to the guide and then visit more thoroughly any museums, churches, palaces, etc.. you have liked the most during this visit.";17.06.2013;Switzerland
268;ReinolJosef;Tour was amazing! The guide, Nora had a wealth of knowledge about the city and I immediately felt at home in Sofia after the tour. She even suggested a good place to eat afterwards. The tour can make one want to come back and explore the city and immerse in the culture more. Keep it up!;17.06.2013;Philippines
269;Alen Z;I was in Sofia in March and that was the first time I heard about some free walking tours, so I decided to take one. The tour guide was Nikola and he's the one who's responsible for me falling in love with Sofia and free walking tours in general! It was fantastic, Nikola's english and sense of humor were great, the tour was simply perfect. If I could, I would give you six stars here!;20.06.2013;
270;winksie;A brilliant initiative. Interesting walk, wonderful guide. A must do - very highly recommended. The weather was really hot, but it really didn't matter!;20.06.2013;UK
271;HolgerS553;"We had a very interesting tour with Filip - I can highly recommend this tour as it is not so easy to get any tourist information on a weekend - thanks Filip for your enthusiasm and your charming way to guide us through Sofia ;-)";24.06.2013;Germany
272;BatemanBayJungle;We were lucky to have Martin as our guide, his enthusiasm and passion for his city inspiring. Loved the quirky city tales and offbeat tidbits of information. Thanks too to Martin for showing us a great local restaurant.;28.06.2013;
273;;I had never done a free walking tour before, but really enjoyed this one! Our guide was extremely knowledgeable and friendly, and I would definitely recommend this to people who want a Sofia-crash course for a few hours when they arrive in the city!;03.07.2013;
274;;The tour was fantastic, the guides are so friendly, professional and knowledgeable. It was a great way to get my bearings in Sofia and also enough information that I could decide which monuments I wanted to come back to and which ones I wanted to skip as I only had 1 day here.;13.07.2013;Australia
275;Kendallsurprise;"I do enjoy a good walking your, and this is one I recommend. I didn't know anything about the history of Sofia and the guide, Stefan had many facts and stories about the area! Each landmark we visited was accompanied by a wealth of information by Stefan, his English was spot on. 

He took us through 'tolerance square' which is a place with 4 different religious buildings! It was great to see the diversity and how it was accepted! We then saw the old communist HQ...which was an interesting sight, Stefan took us through the history of the buildings, which was an eye opener!

I find a tour relies heavily on the attitude of the guide and he delivered the odd joke here and there! He instantly put the group into a positive mood!

I definitely recommend this free tour, as he takes you through the major sights with a good understanding of the history...and has a great attitude! He knows the best places to go for nightlife and other past times! Very willing to answer questions! I'd say it's worth a cheeky tip! ;)";18.07.2013;
276;Megi P;This was an amazing experience, even for me and I am local. I was there with a Czech friend and our guide - Daniel - had some very interesting stories about the creation and the history of the city. Also this is a great way to meet other tourists from all around the globe, who are visiting the Bulgarian capital at the same time.;18.07.2013;Bulgaria
277;Indrė K;I liked that in 2 hours I saw enough for to get idea about this city. It was very useful because I learned many things, I listened interesting stories and had fun. Just sad that we saw buildings from outside but didn't have chance to see it form inside. Thanks for guides, this project is wonderful! :);23.07.2013;Lithuania
278;Alexander D;One of the very few options for guded tour in Sofia. However it is worth to do, guides are young and enthusiastic and in the same time knowlegable. Its fun and value.;29.07.2013;Bulgaria
279;SofiaRodin;The biggest 'bargain' in Sofia. You can learn more in two hours than from any guidebook. The guides speak excellent English and are very knowledgeable. Highly recommended.;29.07.2013;
280;Tina Kulkusky Taylor-Roy;Great Tour!! Thank You Radina! We learned so much about your beautiful city and you made it so much fun!;27.07.2013;
281;Mia Pia;"Thank you Petya for the awesome/very informative free tour! Although I was dead sick that day and probably never looked interested or enjoying, but I did enjoy your tour:). I showed the Bulgarian dance you taught us to my colleagues on later day;).";07.07.2013;
282;Kaminoge;A free tour (although donations are appreciated) which covers the major sites of Sofia and gives interesting information and background. My guide Dima did a great job of explaining the background to the sites we saw. Definitely worth taking advantage of if you're in Sofia.;04.08.2013;Bulgaria
283;Fyrish;Our guide found a good balance between humour and history in a lively and interesting tour. He was also able to explain the background to the protests which were very much part of being in Sofia. We saw all the main sights and got an insight into many aspects of Bulgarian culture and history. There was no pressure to tip, but it would have been pretty mean not to. There was an option to go for a drink and meal afterwards which I'm sure would have been enjoyable. It convinced me that these walking tours are an excellent introduction to a new city and our guide Martin did a good job of persuading us that Bulgaria is indeed one of the 'hidden treasures' of Europe.;06.08.2013;Scotland
284;Senateur_binks;"Le guide Niki, était très disponible et parlait très distinctement en anglais, ce qui facilite la tâche quand bien même notre niveau dans cette langue n'est pas extraordinaire.
La promenade est sympathique, agrémentée de plusieurs arrêts importants dans les endroits les plus marquants de la capitale.";06.08.2013;France
285;Milica1101;Tour was very good,lot of valuable and interested information by our guide,Stefan,who present us Sofia with a sence of humor. I suppose that other guides are similar and good too. I recommended this tour :) .;08.08.2013;Serbia
286;OliFer82;Petya was an awesome tour guide providing us with a ton of information in a fun and engaging way. If you hesitate to spare 2,5h to hear about historical facts, don't mind. Time flies by even if you are not a history buff. The tour is definitely a must see in Sofia.;09.08.2013;Darmstadt, Germany
287;Natalie C;Rhdina was funny and energetic throughout the whole tour with so much information and fun facts on Bulgaria. Great way to see the city while learning a bit of the history. Must go.;12.08.2013;Hong Kong, China
288;vlblv;Did this on a whim this evening, and I'm really glad I did. Great way for even seasoned visitors to Sofia to learn interesting and fun facts about the city's history. Also a nice way to meet other visitors who hailed from around the globe in the group tonight. Dima our tour guide was personable and knowledgable. This was a highlight of my trip to Sofia. Note that the group was of all ages, not just 20 somethings or backpackers. Grown ups of all ages should check it out.;17.08.2013;Istanbul, Turkey
289;Jim U;The tours run 365 days a year at 11:00 or 18:00. The guides are enthusiastic, knowledgeable, informed and accommodating. Their concept of providing free tours has spread to at least two other cities in Bulgaria - for good reason indeed. I recommend this tour to anyone visiting or living in Sofia. You get a feel for the city and Bulgaria - 2 to 2.5 hours well spent.;18.08.2013;
290;geschnetz;Organized by a non-profit organization. Very sympathic, young and informed guides. Tour takes 2-3 hours and provides a perfect overview of Sofia. They don't talk about the boring historical chronology but have interesting amusing facts about the city. Ask for Anna - she is brilliant! ;20.08.2013;Cologne, Germany
291;Michelle Dearle;The two Free Sofia Tours we did were fantastic! The guides were fun and knowledgable with an insight only attainable from being a local. The walking tour really gave us a feel for the city, it's the perfect start for a trip to Sofia. The hiking tour was awesome, the Boyana waterfall was definitely a highlight and its worth the climb to see the amazing view over Sofia. Plus it's free!!;27.08.2013;Perth, Australia
292;PaulaEstrada;Just do it! You will pay as much as you believe the guide deserves. I mean, as a tourist, you will not feel that you are being cheated.;30.08.2013;Brasilia, Brazil
293;Elinor G;Highly recommend it. Went in August 2013 while visiting a native Bulgarian, who even found it interesting herself. You see all the sights (mostly religious temples and statutes) with a friendly guide who can give you a brief history/explanations/answer any questions and recommend restaurants. Can't believe it's free!;01.09.2013;Norwich, UK
294;nini_it;"We went on this tour already loving the idea: a free walking tour through the city center.
We had Nikola with us as a guide: he was kind, friendly, funny, and took us to the most interesting places: you don't enter the churches and monuments during the tour (I guess there isn't enough time to do so), but he gets you so curious, that we went back to visit the inside of many of the monuments.

I don't want to say much more to not spoil the fun and the surprises, but: go, do the tour! You will not regret it. We went with our bulgarian friend and she also loved it.
And yes, it is unbelievable that it is free: the guy really deserved a big tip.";03.09.2013;Vienna, Austria
295;Manrico B;Very informative and free. It is a project worth supporting as well. An excellent way of seeing the main attractions of the city as it helps you understand better the city and its culture.;09.09.2013;Malta
296;030malischen;"I did quite some free tours so far in Europe and I have to say: Sofia is my favourite! 

Our guide Martin welcomed every guest personally and it took him only a few minutes to make all of us laugh. He has a broad knowledge about Bulgarian history (yes, Martin I remember your major in history :D ) but instead of just telling the facts he tells stories to his guests and makes history come to life. 

Even though I think Sofia is a nice city I'm sure I would have never discovered it alone the way I discovered it with the free tour. From a hidden bell to a church in a backyard to a old trade street in a underpass - Martin knows all the secret places and he shares them with such joy! 
He speaks very good english, too. 

I also loved the insight view on the ongoing protests and I've learned more about Bulgarian history than I ever thought I would.
Thank you so much Martin!";15.09.2013;Berlin, Germany
297;Chris Bazell;"Well I see 3 of those who were part of the tour with Martin on 15 th September have beaten us to it
My wife anne and I can only agree with all that has been set
Martin is quite a character and makes the tour not only interesting and informative but enjoyable 
We love his sense of humour
This tour done on our first evening here is really enhancing our 4 day stay here";17.09.2013;United Kingdom
298;Tom W;"This tour of Sofia (back in April!) was incredible. I am devastated that I cannot remember the name of our guide (she was short with short brown hair), as she was brilliant! Extremely knowledgeable and chatty, she described the ethos of the tour as being ""as if you were given a tour by a friend of yours"" and it was just that, however she knew far more than I would have dreamed of. Fantastic tour, it is a must-do if going to Sofia!";17.09.2013;York, United Kingdom
299;Mariay Adley T;We had Stefan as our guide. He is absolutely great! During our 2hours 15minutes, (just stories and orientation without even going inside the churches and cathedrals nor anything) he gave overflowing information, history, myth and stories of Sofia in an amusing way that we don't wanna miss a word. And he could answer any question everyone asked. I felt getting to know more about the city afterwards! Definitely a must if you visit Sofia. Great job, Stefan!;25.09.2013;Hong Kong, China
300;Roger;We did a 2 hour, 15 minute walking sightseeing tour in Sofia. I must say I was a bit skeptic before, but after the tour, I can only say WOW. I am happy that I did not miss this unique introduction to Sofia. We had a very enthusiastic and knowledgeable landscape architect called Radina as our guide. To summarize the trip I just want to say: THANK YOU for the experience Radina!;27.09.2013;Neustadt, Germany
301;Traveller_LPC;We did this tour on the first evening in Sofia and it was a good way to familiarize ourselves with the city. Our guide Vanya was very knowledgeable and friendly.;29.09.2013;London, UK
302;Tanya K;This was a great tour! The guide made it super fun and memorable! She was telling us not only the historical side of things but also stories that are not in the history books... Loved it!;07.10.2013;Chicago, USA
303;Barb L;This was absolutely AWESOME ! We were guided by a Uni student who described 7.000 yrs of history around Sofia, and answered any questions we had. It was one of the best things we did in Bulgaria. A definite must if you're going there.;08.10.2013;New Zealand
304;RASHERRY;A wonderful introduction to the sights around the central city. The guide pointed out things I had walked by a number of times and hadn't even noticed plus it was a great way to chat and mingle with other travelers. Rarely can I say about a guided tour that I wish there were more to it so it would last longer.;09.10.2013;USA
305;Marianne N;This tour, arranged by a non-profit organization in Sofia with a student as a guide, was absolutely great. An informative introduction to the city's history, and the sights were creatively presented;11.10.2013;Stavanger, Norway
306;Jens-Jan Erik ;First of all: Thank you so much, Dima! It was very nice tour! Often guided tours are long, boring and cluttered with to many boring facts! But not longer! Our with Dima was really good! She gaves us the main facts in a interesting, funny way and knows so many anecdotes, who makes the History of the City so interesting! So, we can hardly recommand this tour! Enjoy and have fun!;13.10.2013;Münster, Germany
307;Knicklas;We took this tour on our first day in Sofia as an introduction to some of the sites in the center of the city. The guide was knowledgeable and friendly. It was not an in-depth tour and was not intended as such. We were given just enough facts and anecdotes to pique our interest. The atmosphere in our group with very warm. Very well done and we recommend it highly.;14.10.2013;North Carolina, USA
308;Steve S;There were lots of people on the particular morning of our tour, so two guides- both very friendly and convivial. Ours had a History degree and he knew a lot about the different phases of Sofia's history. This is a great introduction to the capital and I recommend it to anyone. It lasts about 2 1/2 hours. Not too much walking as all the sites are close together.;19.10.2013;Frome, UK
309;Horst Sl;"This is a perfect introduction to Sofia

Awesome! I can only recommend to take this tour. On the last day of my business trip I made this excursion together with a bunch of other fellows. The tour guide was very knowledgeable, explained everything one can see in the city center and also helped us understand what is currently going on with the demonstrations in the town.
As this is an independent independent NGO, the tour guides a very committed and tell the story independently from the official version of it.
An absolute must, great people and definitely worth it.";23.10.2013;Germany
310;Raven;I saw the reviews on Tripadvisor and decided to take the trip. They have two trips - 11 am and 6 pm - and I took the 11 am one. The guide - Nikola - a music student who loves Sofia and history was just fantastic in his enthusiasm and knowledge - highly patient too! He even made us act out the history of the royalty of Bulgaria at one of the stops. Highly recommended as the first thing to do in Sofia to help you decide what you want to explore more. Did I tell you it is FREE? :-);24.10.2013;Dubai, UAE
311;Laura Sander;If you do only one thing in Sofia, choose this free  tour. Our guide Marto was excellent and seemed to know everything there is to know about Sofia and its history. Very informative and entertaining. Highly recommended.;30.10.2013;Denmark
312;Ray Margaret G;This free city tour opened our eyes to the many attractions to this beautiful city. Our guide Nikki was entertaining as well as informative and ready to answer any questions. It is a gentle walk through the historic and interesting centre. It helped us decide which buildings, churches etc we wanted to return to later in the day. A must for any first time visitor to the city. On a hot day bring a bottle of water and sun protection.;05.11.2013;
313;Visada;Absolute MUST in SOFIA! Thanks our guide MARTIN for AMAZING tour around Sofia! Recommend for everyone!!! In 2 hours you will see the best of Sofia!;09.11.2013;Lithuania
314;Eli S;"Our guide for the morning tour was Daniel. 
A large group assembled at the meeting point and as another guide was late to appear, Daniel took all of us (more than 60 persons) to a delightful journey in the city. 
He made sure that we all could enjoy the knowledge he shared about the people and places we visited. 
About half time the other guide showed up to save Daniels voice. 
These guys are amazing and I thank you for investing your passion in this. ";11.11.2013;Haifa, Israel
315;Christoph;"Hey, what can I say? I've been to Sofia more times than I would care to mention, but this time I did a walking tour. The Bulgarian-language tour wasn't on, unfortunately, but I was pointed to Free Sofia Tours by the concierge at the Sheraton, meeting point at the law courts. And that's where I ended up in Martin's group. A cartoon character? You might think he'd been drawn by Walt Disney but there he was in real life. Absolutely fantastic tour, authenticity to the end, his girlfriend and grannie were with us in spirit; sweets for right answers, but more than anything an example of the type of person that's going to get Bulgaria through the current political crisis. От сърце ти благодаря за този успешен ден и пожелавам на теб и на цялата народ успех за бъдещето ви. Cheers, mate. Have a good one.";12.11.2013;Brussels
316;Bwq;"You can't beat anything that's free, but this was also an excellent educational experience. Our guide Kris was very informative and provided quite a few insights into early Bulgarian history. We were surprised at the number of Roman ruins that are being preserved as ""open museums,"" as well as the religious tolerance throughout history as displayed by the various churches, the mosque and synagogue all close to each other. We did the evening tour but would probably recommend the morning one so you can appreciate some of the features in daylight that are harder to see at night. The tour takes about 2 hours and is well worth your time.";13.11.2013;USA
317;Marcel V;"In september we visited Sofia and Plovdiv with a group of 7 elderly Dutch couples. 
FST organised our whole trip, including transportation, restaurants, events, guides, walking tours, city tours, museums, train tickets, musicians, magicians, you name it...!
They did a terrific job. We can't say how happy we were to have them with us during our stay.
They provided lectures by young Bulgarian professionals, one an entrepreneur and the other one a young politician. If you want to meet ""the next generation"" in Bulgaria, then let them join you on your journey. They make a great team; they take care of you even for the smallest details and their enthousiasm and positive attitude make you leave the country with a very optimistic idea about its future. What a surprising experience it was...!!!";13.11.2013;Netherlands
318;Tom S;"Let me start by saying that I am a mid-20s backpacker that typically stays away from group tours and typical touristy activities. That said, this tour is actually really cool. 

It is a great way to see the city from the eyes of a local. My tour guide, Niki, was from central Bulgaria and is a civil engineering student at the local university. He spoke great English, had an engaging and dynamic presence, and was very politically aware. He was able to offer valuable insights on the anti-government protests, the graffiti, and the general state of the Bulgarian political union. It was fascinating. The tour combines textbook history with funny anecdotes about politicians and key historical figures.

I highly recommend this tour to anyone visiting Sofia.";18.11.2013;Boston, USA
319;Zanea;"I was in Sofia for just 10 hours between arriving from Belgrade and leaving for Istanbul.
This tour was the best 2,5 hours I could have spent in that day, Alya, our guide, was full of joy and humour, and had a stash of chocolate bars with which she would award those who correctly answered the games and puzzles along the tour. The tour itself does not enter any places of interest, but points them out so you may later go back to them of your own accord.";27.11.2013;London, UK
320;Rayand Steve;The tour is run by local volunteers, and was excellent. Put on your walking shoes and join them, they take you round and give lots of really useful information, and its a great way to meet other visitors.;03.12.2013;London, UK
